"Test Number","Brand","Textile Mill","Fabric Database","Labratory","Fuze Fabric Number","Wash","Number of Washes","Test Method","Test Method (dropdown)","Test Report #","Tested Bacteria #1","Antimicrobial Result #1","Tested Bacteria","Tested Bacteria #2","Antibacterial Result #2","Written Result (Fungal Testing)","Tested Odor","Tested Metal","ICP (Ag) Result","ICP (Au) Result","Fuze Internal Report #","Date","Date (post wash)","Testing Labratory","Fuze Application Date","Report 1","Report 1 : URL","Report 2","Report 2 : URL","Report 3","Report 3 : URL","Report 4","Report 4 : URL","Image","Image : URL","Ag Serial #","Au Serial #","Fungal Serial #","Machine Type","Post Wash Report #","Ag","Record ID"
"101","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TX70110/2019/LE ","Kleb (AATCC 4352)","100%","Kleb","","","","","","0.000","","","07/25/2019","","SGS TW","05/22/2019","","","","","","","","","","","","","","FUZE","","","67777d01126ae702d825b162"
"102","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00804483","E-coli (ATCC 8739)","85%","E-coli","","","","","","0.000","","","07/15/2019","","ITS TW","06/16/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d01126ae702d825b166"
"103","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00804493","E-coli (ATCC 8739)","98%","E-coli","","","","","","0.000","","","07/15/2019","","ITS TW","06/16/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d01126ae702d825b16a"
"104","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00804494","E-coli (ATCC 8739)","97%","E-coli","","","","","","0.000","","","07/15/2019","","ITS TW","06/16/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d01126ae702d825b16e"
"105","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00804495","E-coli (ATCC 8739)","96%","E-coli","","","","","","0.000","","","07/15/2019","","ITS TW","06/16/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d01126ae702d825b174"
"106","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00804496","E-coli (ATCC 8739)","91%","E-coli","","","","","","0.000","","","07/15/2019","","ITS TW","06/16/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d01126ae702d825b178"
"107","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","","E-coli (ATCC 8739)","","E-coli","","","","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d01126ae702d825b17c"
"108","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","","E-coli (ATCC 8739)","","E-coli","","","","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d01126ae702d825b180"
"109","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00809783","E-coli (ATCC 8739)","56%","E-coli","","","","","","0.000","","","08/05/2019","","ITS TW","06/27/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d01126ae702d825b186"
"110","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00809785","E-coli (ATCC 8739)","85%","E-coli","","","","","","0.000","","BN19005","08/05/2019","","ITS TW","06/27/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d01126ae702d825b18a"
"111","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00811351","E-coli (ATCC 8739)","51%","E-coli","","","","","","0.000","","","08/08/2019","","ITS TW","07/23/2019","","","","","","","","","","","","","","MISTIi Stenter ","","","67777d02126ae702d825b18e"
"112","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00811352","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","FU20008","08/08/2019","","ITS TW","07/24/2019","","","","","","","","","","","","","","MISTI Batch ","","","67777d02126ae702d825b192"
"113","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00816360","E-coli (ATCC 8739)","97%","E-coli","","","","","","0.000","","FU20008-1","09/02/2019","","ITS TW","07/24/2019","","","","","","","","","","","","","","MISTI Batch ","","","67777d02126ae702d825b198"
"114","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00811369","E-coli (ATCC 8739)","97%","E-coli","","","","","","0.000","","CC190001","08/08/2019","","ITS TW","07/24/2019","","","","","","","","","","","","","","MISTI Batch ","","","67777d02126ae702d825b19c"
"115","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00813453","E-coli (ATCC 8739)","0%","E-coli","","","","","","0.000","","","","","ITS TW","07/24/2019","","","","","","","","","","","","","","MISTI Batch ","","","67777d02126ae702d825b1a0"
"116","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00813456","E-coli (ATCC 8739)","76%","E-coli","","","","","","0.000","","","","","ITS TW","07/24/2019","","","","","","","","","","","","","","MISTI Batch ","","","67777d02126ae702d825b1a4"
"117","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00813458","E-coli (ATCC 8739)","0%","E-coli","","","","","","0.000","","","","","ITS TW","07/24/2019","","","","","","","","","","","","","","MISTI Batch ","","","67777d02126ae702d825b1aa"
"118","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00813460","E-coli (ATCC 8739)","84%","E-coli","","","","","","0.000","","WD20001","","","ITS TW","07/24/2019","","","","","","","","","","","","","","MISTI Batch ","","","67777d02126ae702d825b1ae"
"119","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00813465","E-coli (ATCC 8739)","38%","E-coli","","","","","","0.000","","","","","ITS TW","07/24/2019","","","","","","","","","","","","","","MISTI Batch ","","","67777d02126ae702d825b1b2"
"120","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00813466","E-coli (ATCC 8739)","48%","E-coli","","","","","","0.000","","","","","ITS TW","07/24/2019","","","","","","","","","","","","","","MISTI Batch ","","","67777d02126ae702d825b1b6"
"121","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00814622","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","08/23/2019","","ITS TW","07/24/2019","","","","","","","","","","","","","","MISTI Batch ","","","67777d02126ae702d825b1ba"
"122","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00814613","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","08/21/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d02126ae702d825b1be"
"123","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00814611","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","AN20001","08/21/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1c4"
"124","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00814612","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","08/21/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1c8"
"125","","","","","","0","0 Wash","AATCC 100","AATCC 100","TWNC00820163","Staph (AATCC 6538)","0%","Staph/Kleb/ Pseudomonas aeruginosa","Kleb (AATCC 4352)","","Pseudomonas aeruginosa","","","0.000","","","09/19/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1cc"
"126","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00829727","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","10/23/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1d0"
"127","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00832713","Staph (AATCC 6538)","99%","Staph/Kleb/ Pseudomonas aeruginosa","Kleb (AATCC 4352)","","Pseudomonas aeruginosa","","","0.000","","AN19001","10/29/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1d4"
"128","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00815572","E-coli (ATCC 8739)","0%","E-coli","","","","","","0.000","","","08/21/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1da"
"129","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00815590","E-coli (ATCC 8739)","0%","E-coli","","","","","","0.000","","","08/21/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1de"
"130","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00814614","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","08/21/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1e2"
"131","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00814615","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","08/21/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1e6"
"132","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00814616","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","08/23/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1ea"
"133","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00814617","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","08/23/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1f0"
"134","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00814618","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","08/23/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1f4"
"135","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00820110","E-coli (ATCC 8739)","68%","E-coli","","","","","","0.000","","","09/11/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d03126ae702d825b1f8"
"136","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00820137","E-coli (ATCC 8739)","70%","E-coli","","","","","","0.000","","","09/11/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d04126ae702d825b1fc"
"137","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00820138","E-coli (ATCC 8739)","86%","E-coli","","","","","","0.000","","","09/11/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d04126ae702d825b202"
"138","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00814619","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","08/23/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d04126ae702d825b206"
"139","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00814620","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","08/23/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d04126ae702d825b20a"
"140","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00814621","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","08/23/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d04126ae702d825b210"
"141","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00820139","E-coli (ATCC 8739)","96%","E-coli","","","","","","0.000","","","09/11/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d04126ae702d825b214"
"142","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00820563","E-coli (ATCC 8739)","3%","E-coli","","","","","","0.000","","","09/16/2019","","ITS TW","","","","","","","","","","","","","","","MISTI Batch ","","","67777d04126ae702d825b218"
"143","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00822744","E-coli (ATCC 8739)","60%","E-coli","","","","","","0.000","","","09/20/2019","","ITS TW","08/31/2019","","","","","","","","","","","","","","MISTIi Stenter ","","","67777d04126ae702d825b21c"
"144","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00822745","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","CC190003","09/20/2019","","ITS TW","08/31/2019","","","","","","","","","","","","","","MISTIi Stenter ","","","67777d04126ae702d825b220"
"145","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00822746","E-coli (ATCC 8739)","79%","E-coli","","","","","","0.000","","CC190004","09/20/2019","","ITS TW","08/31/2019","","","","","","","","","","","","","","MISTIi Stenter ","","","67777d04126ae702d825b226"
"146","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00823106","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","HF20001","09/20/2019","","ITS TW","","","","","","","","","","","","","","","FUZE","","","67777d04126ae702d825b22a"
"147","","","","","","0","0 Wash","ASTM E2180","AATCC E2180","TWNC00823107","","28%","","","","","","","0.000","","","10/03/2019","","ITS TW","","","","","","","","","","","","","","","FUZE","","","67777d05126ae702d825b22e"
"148","","","","","","0","0 Wash","ASTM G21","ASTM G21","TWNC00823108","","","","","","no growth seen","","","0.000","","HF19001","10/23/2019","","ITS TW","","","","","","","","","","","","","","","FUZE","","","67777d05126ae702d825b232"
"149","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00823109","E-coli (ATCC 8739)","100%","E-coli","","","","","","0.000","","","09/20/2019","","ITS TW","","","","","","","","","","","","","","","FUZE","","","67777d05126ae702d825b236"
"150","","","","","","0","0 Wash","ASTM E2180","AATCC E2180","TWNC00823110","Aspergillus niger (ATCC 6275) ","0%","Aspergillus niger
(ATCC 6275) ","","","","","","0.000","","","10/03/2019","","ITS TW","","","","","","","","","","","","","","","FUZE","","","67777d05126ae702d825b23c"
"151","","","","","","0","0 Wash","ASTM G21","ASTM G21","TWNC00823111","","","","","","no growth seen","","","","","","10/23/2019","","ITS TW","","","","","","","","","","","","","","","FUZE","","","67777d05126ae702d825b240"
"152","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00825525","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","10/02/2019","","ITS TW","09/10/2019","","","","","","","","","","","","","","FUZE","","","67777d05126ae702d825b244"
"153","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00825527","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","10/02/2019","","ITS TW","09/10/2019","","","","","","","","","","","","","","FUZE","","","67777d05126ae702d825b248"
"154","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00825528","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","10/02/2019","","ITS TW","09/10/2019","","","","","","","","","","","","","","FUZE","","","67777d05126ae702d825b24e"
"155","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00825530","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","10/02/2019","","ITS TW","09/10/2019","","","","","","","","","","","","","","FUZE","","","67777d05126ae702d825b252"
"156","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00828470","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","10/09/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d05126ae702d825b256"
"157","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00828471","E-coli (ATCC 8739)","90%","E-coli","","","","","","","","","10/09/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d06126ae702d825b25a"
"158","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00831715","E-coli (ATCC 8739)","","E-coli","","","no reduction","","","","","","10/24/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d06126ae702d825b25e"
"159","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00831715","E-coli (ATCC 8739)","","E-coli","","","no reduction","","","","","","10/24/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d06126ae702d825b262"
"160","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00832714","E-coli (ATCC 8739)","100%","E-coli","","","","","","","","","10/29/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d06126ae702d825b277"
"161","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00836070","E-coli (ATCC 8739)","61%","E-coli","","","","","","0.000","","","11/08/2019","","","10/21/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d06126ae702d825b288"
"162","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00836071","E-coli (ATCC 8739)","0%","E-coli","","","","","","0.000","","","11/08/2019","","","10/21/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d06126ae702d825b298"
"163","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00836072","E-coli (ATCC 8739)","0%","E-coli","","","","","","0.000","","","11/08/2019","","","10/21/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d06126ae702d825b2a6"
"164","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00861510","E-coli (ATCC 8739)","90%","E-coli","","","","","","0.000",""," LS20001-1","02/25/2020","","","10/21/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d06126ae702d825b2aa"
"165","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00836073","E-coli (ATCC 8739)","31%","E-coli","","","","","","0.000","","","11/08/2019","","","10/21/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d06126ae702d825b2ae"
"166","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00836074","E-coli (ATCC 8739)","0%","E-coli","","","","","","0.000","","","11/08/2019","","","10/21/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d06126ae702d825b2b2"
"167","","","","","","10","10 Wash","ASTM E2149","ASTM E2149","TWNC00839942","E-coli (ATCC 8739)","56%","E-coli","","","","","","","","","11/27/2019","","","10/21/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d06126ae702d825b2b6"
"168","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00836075","E-coli (ATCC 8739)","78%","E-coli","","","","","","0.000","","","11/08/2019","","","10/21/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d06126ae702d825b2bc"
"169","","","","","","10","10 Wash","ASTM E2149","ASTM E2149","TWNC00839941","E-coli (ATCC 8739)","67%","E-coli","","","","","","","","","11/27/2019","","","10/21/2019","","","","","","","","","","","","","","MISTI Batch","","","67777d06126ae702d825b2c0"
"170","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00843333","E-coli (ATCC 8739)","60%","E-coli","","","","","","","","","12/13/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d06126ae702d825b2c4"
"171","","","","","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00843335","E-coli (ATCC 8739)","58%","E-coli","","","","","","","","","12/13/2019","","ITS TW","","","","","","","","","","","","","","","","","","67777d07126ae702d825b2c8"
